train_loss,lr,epoch,step,val_loss,val_f1_score,val_acc
5.401484966278076,1.3594330084742978e-05,0,108,,,
,,0,108,5.527323246002197,0.0022888704395553714,0.01141552511415525
5.379172325134277,8.753979636821896e-05,1,217,,,
,,1,217,5.37455415725708,0.0005555737459504198,0.0091324200913242
5.333081245422363,0.00022449730022344738,2,326,,,
,,2,326,5.2997541427612305,0.002549930842141885,0.01141552511415525
5.227043151855469,0.00040356896352022886,3,435,,,
,,3,435,5.105703830718994,0.00616290843839019,0.0273972602739726
4.956875801086426,0.0005974310333840549,4,544,,,
,,4,544,5.077841758728027,0.011907626406544936,0.0319634703196347
4.853741645812988,0.0007765027694404125,5,653,,,
,,5,653,4.3057098388671875,0.018426918493202188,0.05251141552511415
